Sigle du cours,Titre du cours,Description du cours,Type de cours,Nombre de crédits,Charge hebdomadaire,Cycle d'études,Cours préalable,Département responsable, Profil de formation du programme ,Numéro du programme
ADM 1002,Initiation à la gestion,Un cours d'initiation au domaine de la gestion.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
ADM 1013,Comportement organisationnel,Le gestionnaire et le comportement organisationnel.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
ADM 1015,Gestion des ressources humaines,Connaissances théoriques de la gestion des ressources humaines et à sa pratique dans un environnement en constant changement.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
ADM 1450,Initiation à la gestion de projets,"Définition de ce que sont les projets. Description des types de projets, des phases et des outils de planification et de contrôle. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
ADM2006,Les systèmes d'information de gestion,"Les organisations, la gestion et l'entreprise en réseau. L'infrastructure de la technologie de l'information.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
ADM 2007,Introduction au marketing,Connaissances des principes de base du marketing et maîtriser les étapes de la planification marketing.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
ADM 3011,Éthique et responsabilité sociale des entreprises,Connaissances théoriques et appliquées sur l'éthique et la responsabilité sociale de l'entreprise (RSE).,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
ADM 4020,Gestion du rendement,"Saisir les notions liées au rendement en milieu de travail, ainsi que leur importance pour l'organisation.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
COM 1021,Techniques d'animation et d'intervention,Développer des habiletés de compréhension et d'analyse des phénomènes de communication au sein de petits groupes.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
DRT 1060,Droit des affaires,Introduction au droit québécois et canadien. Formation et effets du contrat. Responsabilité civile extracontractuelle.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
ECO 2400,Analyse macroéconomique,"Concept de la macroéconomie : chômage, inflation et croissance économique. Les grands indicateurs macroéconomiques et leur mesure : PIB, inflation. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Inititation aux fondements de la gestion,477
ADM 3007,Initiatives de développement local et d'économie sociale,"Se familiariser avec les concepts, les méthodes, les axes d'intervention et les pratiques du développement local ainsi que sa gestion.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Développement économique local et communautaire,121
ADM 1404,Travail et société,"Le contexte et les outils théoriques. Le concept de travail comme construction sociale récente. Le travail, l'industrialisation et la modernité. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Développement économique local et communautaire,121
ADM 4015,Modèles internationaux de gestion des ressources humaines,L'évolution historique des modèles de gestion des ressources humaines en Amérique du Nord et dans le monde. ,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Développement économique local et communautaire,121
ECO 2011,Économie du Québec,"Aperçu de l'histoire économique du Québec. Développement, croissance et cycles économiques. Structure économique du Québec et de ses régions.",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Développement économique local et communautaire,121
ECO 2400,Analyse macroéconomique,"Concept de la macroéconomie : chômage, inflation et croissance économique. Les grands indicateurs macroéconomiques et leur mesure : PIB, inflation. ",Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Développement économique local et communautaire,121
ECO 3003,Économie du travail, Connaissances de base sur les marchés du travail canadien et québécois. Développer des capacités d'analyse des indicateurs relatifs à l'emploi et se familiariser avec les principales théories en économie du travail.,Cours avec examen,3,9 heures par semaine,Premier cycle,Aucun,Administration,Développement économique local et communautaire,121
