c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NuméroDuProgramme,c_ProfilDeFormationDuprogramme,c_DépartementResponsable
"ADM 1002","Initiation à la gestion","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
ADM2006,"Les systèmes d'information de gestion","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
"ADM 4020","Gestion du rendement","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
"DRT 1060","Droit des affaires","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",477,"Inititation aux fondements de la gestion",Administration
"ADM 3007","Initiatives de développement local et d'économie sociale","Cours avec examen",121,"Développement économique local et communautaire",Administration
"ADM 1404","Travail et société","Cours avec examen",121,"Développement économique local et communautaire",Administration
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",121,"Développement économique local et communautaire",Administration
"ECO 2011","Économie du Québec","Cours avec examen",121,"Développement économique local et communautaire",Administration
"ECO 2400","Analyse macroéconomique","Cours avec examen",121,"Développement économique local et communautaire",Administration
"ECO 3003","Économie du travail","Cours avec examen",121,"Développement économique local et communautaire",Administration
"ECO 3004","Formation et compétitivité économique","Cours avec examen",121,"Développement économique local et communautaire",Administration
"ECO 3005","Développement économique et emploi","Cours avec examen",121,"Développement économique local et communautaire",Administration
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",121,"Développement économique local et communautaire",Administration
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",121,"Développement économique local et communautaire",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",535,"Gestion du tourisme",Administration
"EUT 1123","Histoire, acteurs et enjeux du tourisme","Cours avec examen",535,"Gestion du tourisme",Administration
"EUT 4138","Gestion des événements et congrès","Cours avec examen",535,"Gestion du tourisme",Administration
"EUT 4150","Technologies de l'information et des communications et réseaux de distribution en tourisme","Cours avec examen",535,"Gestion du tourisme",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",975,Marketing,Administration
"ADM 2009","Marketing responsable","Cours avec examen",975,Marketing,Administration
"ADM 2015","Comportement du consommateur","Cours avec examen",975,Marketing,Administration
"ADM 2112","Recherche marketing","Cours avec examen",975,Marketing,Administration
"ADM 2116","Stratégie marketing","Cours avec examen",975,Marketing,Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",421,"Gestion d'entreprise",Administration
"ADM 1015","Gestion des ressources humaines","Cours avec examen",421,"Gestion d'entreprise",Administration
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",421,"Gestion d'entreprise",Administration
"ADM 2007","Introduction au marketing","Cours avec examen",421,"Gestion d'entreprise",Administration
"ADM 1002","Initiation à la gestion","Cours avec examen",4397,Administration,Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",4397,Administration,Administration
"ADM 2007","Introduction au marketing","Cours avec examen",4397,Administration,Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",4397,Administration,Administration
"FIN 1020","Administration financière 1","Cours avec examen",4397,Administration,Administration
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",4397,Administration,Administration
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",4397,Administration,Administration
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",4397,Administration,Administration
"SCO 1060","Fiscalité 1","Cours avec examen",4397,Administration,Administration
