c_SigleDuCours,c_TitreDuCours,c_TypeDuCours
"MKG 3315","Marketing de tourisme et hôtellerie","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen"
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen"
"FRA 3006","Rédaction administrative","Cours sans examen"
"ADM 1101","Management dans les établissements de santé et de services sociaux","Cours sans examen"
"ADM 2220","Pratique de la gestion dans le domaine de la santé et des services sociaux","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"FRA 3006","Rédaction administrative","Cours sans examen"
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen"
"RIN 1013","Problèmes de santé au travail","Cours sans examen"
"MKG 3315","Marketing de tourisme et hôtellerie","Cours sans examen"
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen"
"FRA 3006","Rédaction administrative","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen"
"ENV 3026","Économie et gestion du développement durable","Cours sans examen"
"ADM 2014","Devenir entrepreneur","Cours sans examen"
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen"
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen"
"ADM 9003","Gestion de la TPE/PME","Cours sans examen"
"ADM 9003A","Gestion TPE/PME: simulation","Cours sans examen"
"POL 1010","Introductioon aux relations internationales","Cours sans examen"
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen"
"ADM 4051","Intervention en management","Cours sans examen"
"ADM 4061","Observation en management","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen"
"ENV 3026","Économie et gestion du développement durable","Cours sans examen"
"ADM 2014","Devenir entrepreneur","Cours sans examen"
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen"
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen"
"ADM 9003","Gestion de la TPE/PME","Cours sans examen"
"ADM 9003A","Gestion TPE/PME: simulation","Cours sans examen"
"POL 1010","Introductioon aux relations internationales","Cours sans examen"
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen"
"ADM 4051","Intervention en management","Cours sans examen"
"ADM 4061","Observation en management","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"EDU 1033","Gestion de projets et compétence numérique en milieu de travail","Cours sans examen"
"ADM 4054","Intervention en développement local et économie sociale","Cours sans examen"
"ADM 4064","Observation en développement local et économie sociale","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"ADM 1101","Management dans les établissements de santé et de services sociaux","Cours sans examen"
"ADM 2220","Pratique de la gestion dans le domaine de la santé et des services sociaux","Cours sans examen"
"FRA 3006","Rédaction administrative","Cours sans examen"
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen"
"RIN 1013","Problèmes de santé au travail","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"ADM 3051","Portfolio de formation en management","Cours sans examen"
"ADM 2014","Devenir entrepreneur","Cours sans examen"
"ADM 4051","Intervention en management","Cours sans examen"
"ADM 4061","Observation en management","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"ADM 3052","Portfolio de formation en marketing","Cours sans examen"
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen"
"ADM 4053","Intervention en marketing","Cours sans examen"
"ADM 4063","Observation en marketing","Cours sans examen"
"ADM 6202","Gestion de la créativité","Cours sans examen"
"ADM 6205","Gestion de projets et créativité","Cours sans examen"
"ADM 6216","Leadership et travail d'équipe","Cours sans examen"
"ADM 6218","Gestion des carrières créatives","Cours sans examen"
"ADM 6220","Gestion, territoire et créativité","Cours sans examen"
"ADM 6404","Performance et innovation dans les services de santé et services sociaux","Cours sans examen"
"ADM 6410","Acquisition des habilétés de gestion et interdisciplinarité en santé","Cours sans examen"
"ADM 6412","Changement dans les organisations de santé et de services sociaux","Cours sans examen"
"ADM 6415","Activité de synthèse et d'intégration","Cours sans examen"
"ADM 6216","Leadership et travail d'équipe","Cours sans examen"
"ADM 6506","Gestion des conflits en contexte de projet","Cours sans examen"
"ADM 6508","Management et transfert des connaissances","Cours sans examen"
"SAM 4250","Intervention communautaire","Cours sans examen"
"SAM 4320","Histoire de la prise en charge des troubles mentaux au Québec","Cours sans examen"
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen"
"SCS 2013","Documentation et rédaction en sciences sociales","Cours sans examen"
"COM 3020","Médiax, technologies et réseaux","Cours sans examen"
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen"
"COM 4020","Activité de synthèse ","Cours sans examen"
"COM 2005","Cadre politique et institutionnel de la communication","Cours sans examen"
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen"
"AVM 1001","Introduction aux arts médiatiques","Cours sans examen"
"COM 4011","Projet d'intégration","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen"
"FRA 3008","Écriture en communication","Cours sans examen"
"SOC 1012","Méthodologie de la recherche sociale 1","Cours sans examen"
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen"
"COM 5020","Communication promotionnelle électronique","Cours sans examen"
"FRA 3008","Écriture en communication","Cours sans examen"
"RPL 2010","Stage en relations publiques","Cours sans examen"
"COM 2014","Pratiques de la recherche en communication","Cours sans examen"
"COM 4001","Projet d'intégration","Cours sans examen"
"SOC 1012","Méthodologie de la recherche sociale 1","Cours sans examen"
"COM 2005","Cadre politique et institutionnel de la communication","Cours sans examen"
"COM 3019","Analyse critique des médias socionumériques","Cours sans examen"
"COM 3020","Médiax, technologies et réseaux","Cours sans examen"
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen"
"COM 4025","Lectures dirigées","Cours sans examen"
"AVM 1001","Introduction aux arts médiatiques","Cours sans examen"
"POL 1010","Introductioon aux relations internationales","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"COM 5004","Techniques et dynamique de la fonction "conseil"""","Cours sans examen"
"COM 2001","La nouvelle communication","Cours sans examen"
"COM 5020","Communication promotionnelle électronique","Cours sans examen"
"FRA 3008","Écriture en communication","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"FIN 2024","Évaluation d'entreprise","Cours sans examen"
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"FIN 2024","Évaluation d'entreprise","Cours sans examen"
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen"
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen"
"ECO 1200","Méthodologie économique","Cours sans examen"
"ECO 2023","Corruption, blanchiment d'argent et évasion fiscale internationale: comment s'en protéger?","Cours sans examen"
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen"
"ECO 1200","Méthodologie économique","Cours sans examen"
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen"
"ADM 1400","Théories de l'organisation","Cours sans examen"
"ECO 1200","Méthodologie économique","Cours sans examen"
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen"
"ECO 2023","Corruption, blanchiment d'argent et évasion fiscale internationale: comment s'en protéger?","Cours sans examen"
"ENV 3026","Économie et gestion du développement durable","Cours sans examen"
"EDU 1010","Organisation de l'éducation au Québec","Cours sans examen"
"EDU 1012","Difficultés d'apprentissage, d'adaptation et stratégies d'intervention","Cours sans examen"
"EDU 1013","Évaluation des apprentissages en milieu scolaire","Cours sans examen"
"EDU 1022","Français, langue d'enseignement et d'apprentissage","Cours sans examen"
"EDU 1024","Didactique de l'arithmétique","Cours sans examen"
"EDU 1020","Stratégies d'intervention éducative auprès des adultes","Cours sans examen"
"EDU 1030","Design pédagogique en formation d'adultes","Cours sans examen"
"EDU 1035","Gestion stratégique de la formation d'adultes","Cours sans examen"
"EDU 1040","Théories de l'apprentissage et éducation des adultes","Cours sans examen"
"EDU 1071","Formation en milieu de travail: Des dispositifs aux pratiques","Cours sans examen"
"EDU 1072","Travaux pratiques","Cours sans examen"
"EDU 1074","Projet personnel","Cours sans examen"
"EDU 1080","Évaluation de l'apprentissage et de la formation","Cours sans examen"
"PSY 1220","Psychologie de la vie adulte","Cours sans examen"
"TED 1272","Les TIC et l'apprentissage en milieu de travail","Cours sans examen"
"EDU 1030","Design pédagogique en formation d'adultes","Cours sans examen"
"EDU 1074","Projet personnel","Cours sans examen"
"TED 1272","Les TIC et l'apprentissage en milieu de travail","Cours sans examen"
"TED 1280","Jeux, simulations et jeux de rôle: exploration et analyse pédagogique","Cours sans examen"
"TED 3001","Enseigner avec les technologies de l'information","Cours sans examen"
"EDU 1020","Stratégies d'intervention éducative auprès des adultes","Cours sans examen"
"EDU 1030","Design pédagogique en formation d'adultes","Cours sans examen"
"EDU 1040","Théories de l'apprentissage et éducation des adultes","Cours sans examen"
"EDU 1050","Analyse sociale de l'éducation","Cours sans examen"
"EDU 1080","Évaluation de l'apprentissage et de la formation","Cours sans examen"
"PSY 1220","Psychologie de la vie adulte","Cours sans examen"
"EDU 1035","Gestion stratégique de la formation d'adultes","Cours sans examen"
