c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NombreDeCrédits,c_NuméroDuProgramme,c_ProfilDeFormationDuprogramme
"ADM 1002","Initiation à la gestion","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
ADM2006,"Les systèmes d'information de gestion","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
"ADM 2007","Introduction au marketing","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
"ADM 4020","Gestion du rendement","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
"DRT 1060","Droit des affaires","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,477,"Inititation aux fondements de la gestion"
"ADM 3007","Initiatives de développement local et d'économie sociale","Cours avec examen",3,121,"Développement économique local et communautaire"
"ADM 1404","Travail et société","Cours avec examen",3,121,"Développement économique local et communautaire"
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",3,121,"Développement économique local et communautaire"
"ECO 2011","Économie du Québec","Cours avec examen",3,121,"Développement économique local et communautaire"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,121,"Développement économique local et communautaire"
"ECO 3003","Économie du travail","Cours avec examen",3,121,"Développement économique local et communautaire"
"ECO 3004","Formation et compétitivité économique","Cours avec examen",3,121,"Développement économique local et communautaire"
"ECO 3005","Développement économique et emploi","Cours avec examen",3,121,"Développement économique local et communautaire"
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",3,121,"Développement économique local et communautaire"
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",3,121,"Développement économique local et communautaire"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,535,"Gestion du tourisme"
"EUT 1123","Histoire, acteurs et enjeux du tourisme","Cours avec examen",3,535,"Gestion du tourisme"
"EUT 4138","Gestion des événements et congrès","Cours avec examen",3,535,"Gestion du tourisme"
"EUT 4150","Technologies de l'information et des communications et réseaux de distribution en tourisme","Cours avec examen",3,535,"Gestion du tourisme"
"MKG 3315","Marketing de tourisme et hôtellerie","Cours sans examen",3,535,"Gestion du tourisme"
"ADM 2007","Introduction au marketing","Cours avec examen",3,975,Marketing
"ADM 2009","Marketing responsable","Cours avec examen",3,975,Marketing
"ADM 2015","Comportement du consommateur","Cours avec examen",3,975,Marketing
"ADM 2112","Recherche marketing","Cours avec examen",3,975,Marketing
"ADM 2116","Stratégie marketing","Cours avec examen",3,975,Marketing
"ADM 1002","Initiation à la gestion","Cours avec examen",3,421,"Gestion d'entreprise"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,421,"Gestion d'entreprise"
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,421,"Gestion d'entreprise"
"ADM 2007","Introduction au marketing","Cours avec examen",3,421,"Gestion d'entreprise"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,4397,Administration
"ADM 1013","Comportement organisationnel","Cours avec examen",3,4397,Administration
"ADM 2007","Introduction au marketing","Cours avec examen",3,4397,Administration
"ECO 1300","Analyse microéconomique","Cours avec examen",3,4397,Administration
